MeterPoint Code,Serial Number,Plant Code,Date/Time,Data Type,Data Value,Units,Status
210095893,210095893,ED031000001,31/08/2015 20:45,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 21:00,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 21:15,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 21:30,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 21:45,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 22:00,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 22:15,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 22:30,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 22:45,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 23:00,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 23:15,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 23:30,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 23:45,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,1/09/2015 0:00,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,1/09/2015 0:15,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,1/09/2015 0:30,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 0:45,Export Wh Total,2.8,kwh,
210095893,210095893,ED031000001,31/08/2015 1:00,Export Wh Total,2.8,kwh,
210095893,210095893,ED031000001,31/08/2015 1:15,Export Wh Total,3.1,kwh,
210095893,210095893,ED031000001,31/08/2015 1:30,Export Wh Total,2.7,kwh,
210095893,210095893,ED031000001,31/08/2015 1:45,Export Wh Total,2.9,kwh,
210095893,210095893,ED031000001,31/08/2015 2:00,Export Wh Total,2.9,kwh,
210095893,210095893,ED031000001,31/08/2015 2:15,Export Wh Total,2.9,kwh,
210095893,210095893,ED031000001,31/08/2015 2:30,Export Wh Total,3,kwh,
210095893,210095893,ED031000001,31/08/2015 2:45,Export Wh Total,3.1,kwh,
210095893,210095893,ED031000001,31/08/2015 3:00,Export Wh Total,3,kwh,
210095893,210095893,ED031000001,31/08/2015 3:15,Export Wh Total,3,kwh,
210095893,210095893,ED031000001,31/08/2015 3:30,Export Wh Total,3,kwh,
210095893,210095893,ED031000001,31/08/2015 3:45,Export Wh Total,2.9,kwh,
210095893,210095893,ED031000001,31/08/2015 4:00,Export Wh Total,3.2,kwh,
210095893,210095893,ED031000001,31/08/2015 4:15,Export Wh Total,3,kwh,
210095893,210095893,ED031000001,31/08/2015 4:30,Export Wh Total,3,kwh,
210095893,210095893,ED031000001,31/08/2015 4:45,Export Wh Total,2.8,kwh,
210095893,210095893,ED031000001,31/08/2015 5:00,Export Wh Total,2.9,kwh,
210095893,210095893,ED031000001,31/08/2015 5:15,Export Wh Total,3.1,kwh,
210095893,210095893,ED031000001,31/08/2015 5:30,Export Wh Total,2.9,kwh,
210095893,210095893,ED031000001,31/08/2015 5:45,Export Wh Total,2.7,kwh,
210095893,210095893,ED031000001,31/08/2015 6:00,Export Wh Total,2.9,kwh,
210095893,210095893,ED031000001,31/08/2015 6:15,Export Wh Total,3,kwh,
210095893,210095893,ED031000001,31/08/2015 6:30,Export Wh Total,3.1,kwh,
210095893,210095893,ED031000001,31/08/2015 6:45,Export Wh Total,2.9,kwh,
210095893,210095893,ED031000001,31/08/2015 7:00,Export Wh Total,2.8,kwh,
210095893,210095893,ED031000001,31/08/2015 7:15,Export Wh Total,2.9,kwh,
210095893,210095893,ED031000001,31/08/2015 7:30,Export Wh Total,3.1,kwh,
210095893,210095893,ED031000001,31/08/2015 7:45,Export Wh Total,3,kwh,
210095893,210095893,ED031000001,31/08/2015 8:00,Export Wh Total,2.9,kwh,
210095893,210095893,ED031000001,31/08/2015 8:15,Export Wh Total,3,kwh,
210095893,210095893,ED031000001,31/08/2015 8:30,Export Wh Total,2.9,kwh,
210095893,210095893,ED031000001,31/08/2015 8:45,Export Wh Total,3.3,kwh,
210095893,210095893,ED031000001,31/08/2015 9:00,Export Wh Total,2.8,kwh,
210095893,210095893,ED031000001,31/08/2015 9:15,Export Wh Total,2.9,kwh,
210095893,210095893,ED031000001,31/08/2015 9:30,Export Wh Total,2.9,kwh,
210095893,210095893,ED031000001,31/08/2015 9:45,Export Wh Total,2.8,kwh,
210095893,210095893,ED031000001,31/08/2015 10:00,Export Wh Total,3.3,kwh,
210095893,210095893,ED031000001,31/08/2015 10:15,Export Wh Total,2.7,kwh,
210095893,210095893,ED031000001,31/08/2015 10:30,Export Wh Total,2.9,kwh,
210095893,210095893,ED031000001,31/08/2015 10:45,Export Wh Total,3,kwh,
210095893,210095893,ED031000001,31/08/2015 11:00,Export Wh Total,3,kwh,
210095893,210095893,ED031000001,31/08/2015 11:15,Export Wh Total,3.3,kwh,
210095893,210095893,ED031000001,31/08/2015 11:30,Export Wh Total,2.7,kwh,
210095893,210095893,ED031000001,31/08/2015 11:45,Export Wh Total,2.7,kwh,
